[34m2013-10-24 07:32:26,610  INFO | main | org.springframework.web.context.ContextLoader           | Root WebApplicationContext: initialization started 
[0;39m[34m2013-10-24 07:32:26,786  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Refreshing Root WebApplicationContext: startup date [Thu Oct 24 07:32:26 FET 2013]; root of context hierarchy 
[0;39m[34m2013-10-24 07:32:26,901  INFO | main | o.s.beans.factory.xml.XmlBeanDefinitionReader           | Loading XML bean definitions from ServletContext resource [/WEB-INF/report-context.xml] 
[0;39m[34m2013-10-24 07:32:27,343  INFO | main | o.s.context.annotation.ClassPathBeanDefinitionScanner   | JSR-330 'javax.inject.Named' annotation found and supported for component scanning 
[0;39m[34m2013-10-24 07:32:27,699  INFO | main | o.s.beans.factory.xml.XmlBeanDefinitionReader           | Loading XML bean definitions from ServletContext resource [/WEB-INF/report-security.xml] 
[0;39m[34m2013-10-24 07:32:27,859  INFO | main | o.s.security.core.SpringSecurityCoreVersion             | You are running with Spring Security Core 3.0.5.RELEASE 
[0;39m[34m2013-10-24 07:32:27,860  INFO | main | o.s.security.config.SecurityNamespaceHandler            | Spring Security 'config' module version is 3.0.5.RELEASE 
[0;39m[34m2013-10-24 07:32:28,045  INFO | main | o.s.s.config.http.HttpSecurityBeanDefinitionParser      | Checking sorted filter chain: [Root bean: class [org.springframework.security.web.access.channel.ChannelProcessingFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 100, Root bean: class [org.springframework.security.web.session.ConcurrentSessionFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 300, Root bean: class [org.springframework.security.web.authentication.logout.LogoutFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 800, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1200, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1300, Root bean: class [org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1400, Root bean: class [org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1500, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1600, Root bean: class [org.springframework.security.web.session.SessionManagementFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1800, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 1900] 
[0;39m[34m2013-10-24 07:32:28,064  INFO | main | o.s.s.c.method.GlobalMethodSecurityBeanDefinitionParser | Using bean 'expressionHandler' as method ExpressionHandler implementation 
[0;39m[34m2013-10-24 07:32:28,978  INFO | main | o.s.c.support.PropertySourcesPlaceholderConfigurer      | Loading properties file from class path resource [report.properties] 
[0;39m[34m2013-10-24 07:32:29,047  INFO | main | o.s.b.f.annotation.AutowiredAnnotationBeanPostProcessor | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
